Punto,Lat,Lon
ENERGIA TOTAL,19.37602211,-99.18640195
SPORTS WORLD FELIX CUEVAS,19.37254559,-99.1729608
AKA FITNESS,19.38275427,-99.18409294
DEL VALLE GYM,19.38101511,-99.17286178
EGOS GYM,19.3851155,-99.18171457
GO FITNESS GIMNASIO,19.37966496,-99.16904202
REBEL CYCLE,19.38626918,-99.18002288
RHINO WARRIOR 69,19.38394341,-99.18018911
WOLF STUDIO,19.38557514,-99.18008841
BODY HERTZ,19.38960632,-99.17493667
HIT HARD,19.3885148,-99.17395952
ENERGY FITNESS WTC,19.39538965,-99.17456554
FITNESS CENTER,19.39400335,-99.17719418
GIMNASIO POWER BIKE,19.39371865,-99.167275
NEW EVOLUTION FITNESS SERVICIOS,19.39529286,-99.17462804
SPORTIKA FIT FOR FITNES,19.39527779,-99.17210103
TEC FIT,19.39467346,-99.17343831
AKSYSTEMS,19.39453307,-99.16641368
CURVES,19.39274128,-99.16610561
DEL VALLE TRAINING ACADEMIC & BARBELL CLUB,19.39709019,-99.16945833
SPORTS WORLD XOLA,19.39697644,-99.16621083
BODY FACTORY FITNESS CENTER HEALTH ADICTION,19.4026347,-99.17315238
CENCALLI CROSS FIT,19.40238162,-99.17060688
JUNIOR CLUB,19.4048317,-99.172348
UNIVERSO PILATES,19.40474053,-99.17167235
CFIT GYM,19.40209065,-99.16410897
DIMITROVA GYMNASTICS,19.40789424,-99.16924732
ESTABLECIMIENTO DE ADMINISTRACION,19.40564348,-99.17136082
GYM BARBUX,19.40550659,-99.16308593
POWER PLATE ROMA,19.40510188,-99.16639599
ACCENT CYCLING,19.40951736,-99.17584874
ESTUDIO PRIVADO DE ENTRENAMIENTO FISICO SORAYA,19.41084824,-99.16858999
GIMNASIO FITWAY,19.40456492,-99.1606988
GIMNASIO FUN & FIT FITNESS CENTER,19.4104369,-99.16652579
GYM 24 HRS,19.41176993,-99.17209924
PILATES CONDESA,19.41278996,-99.1673711
SPORTS WORLD CONDESA,19.41314235,-99.16759297
CENTRO QI,19.41463341,-99.16665908
OPEX CONDESA,19.41538632,-99.16620069
ROOM GYM,19.41420976,-99.16176162
SPORTS WORLD ROMA,19.41614875,-99.16388166
SPORTS WORLS ROMA,19.41602573,-99.16385065
THE WORK SHOP,19.41508719,-99.16569884
GIMNASIO DE ARTE Y CULTURA,19.41828861,-99.16350032
MAXIMO ROMA FDITNES,19.41583197,-99.16062356
AKSYSTEMS,19.42419549,-99.16633775
CLUB DEPORTIVO SMART FIT ROMA NORTE,19.4206582,-99.17110326
GIMNASIO CONDESA,19.42113451,-99.1696618
GYMNASIO AEON CF TRAINING,19.42135651,-99.16407853
MINT BODY PILATES STUDIO,19.41877783,-99.15866237
NEW GYM,19.41814762,-99.15715206
ESCUADRON CROSS FITNESS GIMNASIO,19.42566684,-99.16334535
NIKE WOMEN MEXICO,19.42757435,-99.16381169
SMART FIT,19.42608423,-99.16401208
CESARS GYM,19.42764129,-99.16038421
ENERGY FITNESS REFORMA,19.42904071,-99.16221181
ESTUDIO DE ENTRENAMIENTO FUNCIONAL ROOM FIT STUDIO,19.4271518,-99.15839084
SPORTS WORLD REFORMA,19.42948746,-99.16394611
300 GIMNASIO EN FORMACION,19.43451481,-99.15863449
CLUB UNIVERSITARIO DE MEXICO,19.43073201,-99.15855904
DEPORTIVO TELMEX,19.43410499,-99.16051395
HD SPORT FITNESS,19.42511809,-99.15361229
POLE FIT STUDIO,19.43293998,-99.16385708
ROOA FUNCTIONAL TRAINIG CEN,19.42543298,-99.1535795
SPOT FITNESS,19.42508512,-99.15361572
B DINMYC,19.4361656,-99.15589439
FIT CORNER,19.43527509,-99.16581785
FRONTON INCLAN,19.42904548,-99.15229482
SQUASH CLUB 73,19.43534231,-99.16474142
