Establecimiento,Lat,Lon
BODEGA DE CALENTADORES SOLARES,19.69956382,-101.1534794
BODEGA DE CALENTADORES SOLARES GIRASOL,19.72934127,-101.1834321
BODEGA DE FERRE MATERIALES PARA LA CONSTRUCCIÓN HERNÁNDEZ,19.69709576,-101.2573152
BODEGA DE FERRETERIA CASA GARFIAS,19.71018614,-101.2183612
BODEGA DE FERRETERIA LA GRANJA,19.70859691,-101.2213275
BODEGA DE FIERRERIA LA ESPERANCITA,19.69598865,-101.1887649
BODEGA DE MATERIALES SIN NOMBRE,19.69655351,-101.2273335
BODEGA ELECTROFERRETERA MEXICO,19.72112572,-101.1426528
BODEGA IBIDEM,19.72874493,-101.153618
BODEGA SIN NOMBRE,19.69890361,-101.2548377
BULTRACTOR,19.69613227,-101.1927963
CALENTADORES  SOLARES EVER GREEN,19.69920854,-101.2484727
CALENTADORES SOLARES,19.70976154,-101.2124427
CALENTADORES SOLARES,19.69689366,-101.1958288
CALENTADORES SOLARES EVERGREEN,19.69397135,-101.1822337
CALENTADORES SOLARES SIN NOMBRE,19.65950441,-101.2002859
CENCORI SA DE CV,19.72984434,-101.1830027
CERRADURAS Y HERRAJES DECORATIVOS HERMA,19.71642979,-101.1972447
CERRAJERÍA Y DISTRIBUIDORA SOLIS,19.70961943,-101.1895556
COMERCIAL FERRETERA CABALLERO SA DE CV,19.69827,-101.15842
COMERCIAL FERRETERA SIN NOMBRE,19.70567027,-101.2550247
COMERCIALIZADORA DE HERRAJES SIN NOMBRE,19.70730389,-101.1705484
COMPAÑIA FERRETERA NUEVO MUNDO S DE RL DE CV,19.69327599,-101.2180887
CONEXIONES DIGO,19.74714746,-101.169901
CONSTRUCCIÓN PREFABRICADOS Y MAQUINARIA DEL CENTRO,19.68802229,-101.1211798
CONSTRUDEC,19.6814938,-101.1765845
DEPOSITO DE LAMINAS TENERIFE,19.70835715,-101.1840897
DISTRIBUIDORA DE TINACOS GIROPLAS,19.73268239,-101.1348051
DISTRIBUIDORA DE TORNILLOS YAEM,19.71071065,-101.1911292
DISTRIBUIDORA FLOVAL,19.72033897,-101.1920271
ECOSFOR-A,19.70917091,-101.1684342
"EL SUPER FERRETERO DE MORELIA, S. DE R.L. DE C.V.",19.69396628,-101.1880372
EL SURTIDOR DEL PLOMERO,19.71565345,-101.2011859
EL TORNILLO FELIZ VENTA DE TODO TIPO DE ARTÍCULOS DE FERRETERÍA,19.69516946,-101.1537018
ELECTRICOSAS,19.69919857,-101.1489502
ELECTRO FERRETERA,19.69464248,-101.1699603
ELECTROFERRETERA CENTRAL,19.71041813,-101.1890343
ELECTROFERRETERA LA HORMIGA,19.69693164,-101.2544569
ELECTROFERRETERA MEXICO,19.70437269,-101.1604888
ELECTROFERRETERA MEXICO,19.70437256,-101.1604892
ELECTROPLOMERIA ROCHA,19.68525023,-101.2035862
EMPRESA MEXICANA DE MANUFACTURAS SA DE CV,19.73275513,-101.1327604
EMSSA,19.73426768,-101.1292013
ESTACIONAMIENTO DE FERRETERIA CIRCUITO,19.69813654,-101.2287808
FABRICACIÓN Y VENTA DE ACEROS INOXIDABLES PACHECO,19.70914575,-101.1915214
FEPCA FERREELECTRICA CARRILLO,19.69727838,-101.1944136
FEREEMATERIAES MUÑOZ,19.7347377,-101.183793
FERETARIA UNIVERSIDAD,19.69024775,-101.1985728
FERRE CONSTRUMEX,19.72323687,-101.205705
FERRE ELECTRICA LA LUZ,19.70998105,-101.2161605
FERRE ELÉCTRICA SIN NOMBRE,19.67095924,-101.190653
FERRE ELECTRICA TRES PUENTES,19.70905265,-101.2119249
FERRE GUIZAR,19.6839602,-101.2172436
FERRE MATERIALES FIGUEROA,19.73288042,-101.1992391
FERRE MATERIALES MATERIALES PRECIO,19.70860192,-101.1564659
FERRE MATERIALES MAYA,19.72268958,-101.2113646
FERRE MATERIALES PLOMEMAT,19.70037073,-101.1554117
FERRE MATERIALES VAZQUEZ,19.65947625,-101.195491
FERRE ORTIZ,19.73039218,-101.219197
FERRE PAO,19.69778283,-101.2280876
FERREACEROS Y CEMENTOS LA FE,19.74546887,-101.2031737
FERRECARBONES,19.69654887,-101.2269296
FERRECENTRO,19.70745077,-101.1923976
FERREELECTRICA EL TREBOL,19.706204,-101.2356893
FERREELECTRICA LA SOLEDAD,19.73235693,-101.1773424
FERREGALLO,19.73076709,-101.2027294
FERRELECTRICA JOSMAR,19.70444436,-101.1841671
FERREMARTERIALES LOPEZ MATEOS,19.69654887,-101.2269296
FERREMAS,19.68877543,-101.2995199
FERREMATERIALES,19.7072298,-101.2553908
FERREMATERIALES,19.70435736,-101.264625
FERREMATERIALES ACEMEX,19.69821177,-101.1474994
FERREMATERIALES ACEMICH,19.7102982,-101.1515048
FERREMATERIALES AMPLIACIÓN,19.68876791,-101.2532952
FERREMATERIALES ARCO,19.70617841,-101.2424989
FERREMATERIALES ARCOS DE MORELIA,19.71993168,-101.1713712
FERREMATERIALES BOSQUES,19.72188026,-101.1048074
FERREMATERIALES CHAVEZ,19.72134266,-101.2049787
FERREMATERIALES CUMBRES,19.72411272,-101.238126
FERREMATERIALES EL COYOTE,19.71911318,-101.1906696
FERREMATERIALES EL MANANTIAL,19.7341347,-101.2151529
FERREMATERIALES EL SARGENTO,19.70022752,-101.1531549
FERREMATERIALES FERRECHARY,19.708876,-101.1720567
FERREMATERIALES GALEANA,19.63981199,-101.2300821
FERREMATERIALES GAONA,19.67468757,-101.389794
FERREMATERIALES GUTIERREZ,19.70063302,-101.2536844
FERREMATERIALES HERNANDEZ,19.69717025,-101.2567885
FERREMATERIALES IKER 2,19.74081601,-101.1341018
FERREMATERIALES LA CALERA,19.66903339,-101.2361792
FERREMATERIALES LA ESPERANZA,19.70077936,-101.2520501
FERREMATERIALES LA ESTRELLA,19.73983963,-101.2032726
FERREMATERIALES LA PROVIDENCIA,19.74158953,-101.1338443
FERREMATERIALES LA PROVIDENCIA,19.76701005,-101.115802
FERREMATERIALES LANDA,19.70895997,-101.2204139
FERREMATERIALES LANDA,19.69695037,-101.2269458
FERREMATERIALES MARISOL SANCHEZ BEJAR,19.73746952,-101.1337347
FERREMATERIALES MARJAV,19.73061582,-101.1740127
FERREMATERIALES MORELIA,19.72906632,-101.1736733
FERREMATERIALES MORTERAMA DON VASCO,19.7002254,-101.1723357
FERREMATERIALES PARA LA CONSTRUCCION LOGEMA,19.68453985,-101.157658
FERREMATERIALES PEGASSO,19.71556889,-101.1614453
FERREMATERIALES REFORMA,19.70443288,-101.2457726
FERREMATERIALES RIO,19.68685444,-101.1766456
FERREMATERIALES RODRIGUEZ,19.7368796,-101.1369955
FERREMATERIALES RODRIGUEZ,19.73793176,-101.1424101
FERREMATERIALES SAN FRANCISCO,19.7115756,-101.1947913
FERREMATERIALES SAN PASCUAL,19.69580935,-101.2662078
FERREMATERIALES SIERRA,19.69766886,-101.2484319
FERREMATERIALES SOLORZANO,19.72338726,-101.2390654
FERREMATERIALES TOLEDO,19.69005111,-101.2567385
FERREMATERIALES TOLEDO,19.72492297,-101.191123
FERREMATERIALES TRUPER,19.68038654,-101.2256474
FERREMATERIALES TUERCAS,19.74312754,-101.2131848
FERREMATERIALES VALLADOLID,19.69583121,-101.2540897
FERREMATERIALES VILLAGOMEZ,19.70734524,-101.1759751
FERREMATERIALES VLLEGAS,19.7005182,-101.253504
FERREMATERIALES YESICA,19.69218804,-101.2884106
FERREMUNDO,19.69237242,-101.1925192
FERRE-ORTIZ,19.73044379,-101.2192135
FERREPAO,19.69326656,-101.2241021
FERREPERFILES,19.70381262,-101.2278029
