Establecimiento,Lat,Lon
ABARRORES XOCHITL,19.26817676,-99.24276078
ABARRORRES REINA,19.29815356,-99.07539377
ABARRORTES CHAPULTEPEC,19.41588909,-99.18092187
ABARRORTES HERNANDEZ,19.25450338,-99.18034698
ABARROS ALIN,19.22215667,-99.20520719
ABARROTAS MORELOS,19.34502071,-99.01418009
ABARROTE ASORNO,19.33213916,-99.0040491
ABARROTE CAMI,19.46401818,-99.10701122
ABARROTE CHILE SECO MOLE EN PASTA Y MATERIAS PRIMAS,19.42841471,-99.10657427
ABARROTE CHILES SECOS Y MOLES,19.35409432,-99.12618166
ABARROTE DE CURIEL,19.35586822,-99.24319358
ABARROTE DULCE,19.30598809,-99.04572019
ABARROTE ERICK,19.38426386,-99.07200657
ABARROTE EVITA,19.46773438,-99.10230596
ABARROTE GABY,19.33690229,-99.02534018
ABARROTE IBETH,19.2925272,-99.06572663
ABARROTE JIMENA,19.25523416,-99.18424223
ABARROTE LA ECONOMICA,19.45692946,-99.11087542
ABARROTE LA FORTALEZA,19.32781878,-99.0980105
ABARROTE LA GRAN TENOCHTITLAN,19.44563064,-99.12934946
ABARROTE LA LOMITA,19.29572908,-99.26355077
ABARROTE LONA,19.28939205,-99.18368189
ABARROTE LOS CANELOS,19.20799472,-99.16176047
ABARROTE LOS CHINOS,19.52183101,-99.13599835
ABARROTE MANY,19.35274669,-99.03188097
ABARROTE MARI,19.3395182,-99.01130714
ABARROTE NATALIA,19.30281083,-99.25469833
ABARROTE PRIMEVERA,19.33062532,-99.2608727
ABARROTE RAMIREZ,19.42602191,-99.12298619
ABARROTE S LOS PPINOS,19.21215155,-99.17967459
ABARROTE SIN NOMBRE,19.27844449,-99.1986841
ABARROTE SIN NOMBRE,19.42859329,-99.05642541
ABARROTE SUPER LEO,19.13346296,-99.17713346
ABARROTE Y PRODUCTOS DE LIMPIEZA,19.33291295,-99.10648328
ABARROTE Y RECAUDERIA GONZALEZ,19.56162174,-99.14291415
ABARROTE YAZMIN,19.55694052,-99.14083902
ABARROTEA LUPITA,19.32630896,-99.26587988
ABARROTEES SANTY,19.44158373,-99.12270242
ABARROTEES Y SEMILLAS,19.39014412,-99.20209577
ABARROTEL GIL,19.33982852,-99.04689519
ABARROTEN LEONS,19.42501263,-99.09546509
ABARROTERA,19.4517901,-99.11021385
ABARROTERA,19.47753483,-99.14498928
ABARROTERA AGUILA,19.46720625,-99.11024045
ABARROTERA BLACK,19.36021219,-99.08450738
ABARROTERA EL AZUL,19.39906806,-99.05812938
ABARROTERA EL LINCE,19.37492764,-99.06112693
ABARROTERA EL OSO,19.47587029,-99.06544042
ABARROTERA ELI,19.3698796,-99.07223125
ABARROTERA ELY,19.43008412,-99.12279271
ABARROTERA GAVIOTA,19.47924174,-99.10713963
ABARROTERA LA 23,19.37370335,-99.21637817
ABARROTERA LA CELAYENSE,19.41737426,-99.08381227
ABARROTERA LA META,19.38999545,-99.15067894
ABARROTERA LA PERLA,19.38722689,-99.15628749
ABARROTERA LA TIENDITA,19.22564406,-98.96386933
ABARROTERA MARCKET,19.55782434,-99.13475871
ABARROTERA MEXICO,19.41393241,-99.09302809
ABARROTERA MIMOSA,19.44491385,-99.1444497
ABARROTERA MIRAMONTES,19.30784973,-99.12407729
ABARROTERA MONTERO,19.42573666,-99.10049876
ABARROTERA SAN JERONIMO,19.30563612,-99.26109588
ABARROTERA SIN NOMBRE,19.37194677,-99.09705401
ABARROTERA SIN NOMBRE,19.22780125,-98.96733919
ABARROTERA SIN NOMBRE,19.24057078,-99.11139531
ABARROTERA SIN NOMBRE,19.38231666,-99.11896461
ABARROTERIA ALEX,19.29677262,-99.01030763
