Establecimiento,Lat,Lon
CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS JURIDICAS Y CRIMINOLOGICAS,19.4278654,-99.1486718
CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS JURIDICAS Y CRIMINOLOGICAS CESCIJUC,19.4262545,-99.1510876
CENTRO DE ESTUDIOS TECNOLÓGICOS Y UNIVERSITARIOS,19.4378007,-99.159748
CENTRO DE ESTUDIOS UNIVERSITARIOS COYOTL,19.3399482,-99.1320272
CENTRO DE ESTUDIOS UNIVERSITARIOS MONTES,19.2857864,-99.1753897
CENTRO DE EXPOSICIONES Y CONGRESOS,19.3092071,-99.1770188
CENTRO DE IDIOMAS Y POSGRADO UNIVERSIDAD SIMON BOLIVAR,19.3727441,-99.186592
CENTRO DE INCUBACION DE EMPRESAS DE BASE TECNOLOGICA (CIEBT),19.4978814,-99.1438005
CENTRO DE INNOVACION Y DESARROLLO TECNOLOGICO EN COMPUTO (CIDETEC),19.5048717,-99.1433502
CENTRO DE INVESTIGACION E INNOVACION TECNOLOGICA (CIITEC),19.4874613,-99.1761497
CENTRO DE INVESTIGACIÓN EDUCATIVA Y FORMACIÓN DOCENTE,19.4556804,-99.1789586
"CENTRO DE INVESTIGACION EN CIENCIA APLICADA Y TECNOLOGIA AVANZADA (CICATA), UNIDAD LEGARIA",19.4456255,-99.2088728
CENTRO DE INVESTIGACION EN COMPUTACION (CIC),19.5048717,-99.1433502
CENTRO DE INVESTIGACION Y DESARROLLO EDUCATIVO  EMMANUEL KANT,19.3750152,-99.1396512
CENTRO DE INVESTIGACION Y ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,19.2961589,-99.1187339
CENTRO DE INVESTIGACIONES BIOLOGICAS Y ACUICOLAS DE CUEMANCO CIBAC,19.2850923,-99.1052426
"CENTRO DE INVESTIGACIONES ECONOMICAS, ADMINISTRATIVAS Y SOCIALES (CIECAS)",19.446949,-99.1660314
CENTRO DE INVESTIGACIONES INTERDISCIPLINARIAS EN CIENCIAS Y HUMANIDADES,19.3337048,-99.1827105
CENTRO DE INVESTIGACIONES SOBRE AMERICA DEL NORTE,19.3348582,-99.1862007
CENTRO DE INVESTIGACIONES SOBRE AMÉRICA LATINA Y EL CARIBE,19.3337048,-99.1827116
