Punto,Nombre,Ciudad,Lat,Lon
236,PLAZA LAS AMÉRICAS,Chetumal,18.52048,-88.32161
571,Plaza las Américas Playa del Carmen,Playa del Carmen,20.64889,-87.08231
188,PLAZA MAYOR LEON,Leon,21.15747,-101.69500
244,PLAZA SATÉLITE,Naucalpan de Juarez,19.51006,-99.23438
304,PLAZA ZENTRALIA,Carmen,18.65385,-91.80769
353,PORTAL FRESNILLO,Fresnillo,23.19488,-102.88600
569,Portales Guatemala,Guatemala,14.64782,-90.48174
240,POZA RICA,Poza Rica de Hidalgo,20.52681,-97.46138
339,PUEBLA CENTRO HOMBRE,Puebla,19.04475,-98.19839
183,PUEBLA CENTRO MUJER,Puebla,19.04481,-98.19847
228,PUEBLA I,Teziutlán,19.81704,-97.36076
290,PUERTO VALLARTA,Puerto Vallarta,20.64371,-105.23830
194,PUNTO SUR GUADALAJARA,Guadalajara,20.57007,-103.45430
310,QUERETARO,Queretaro Entrada por Calle Corregidora,20.59083,-100.39130
185,SAN LUIS  GARCIA + CCP,San Luis Potosí,22.13180,-100.92500
335,SAN LUIS POTOSÍ,San Luis Potosí,22.15292,-100.97630
187,SAN LUIS POTOSÍ I,San Luis Potosí,22.15395,-100.97630
601,SENDERO IXTAPALUCA,Ixtapaluca,19.29680,-98.88109
347,TAMPICO CCP HOMBRE,Tampico,22.21461,-97.85637
193,TAMPICO CCP MUJER,Tampico,22.21456,-97.85639
700,TAMPICO CENTRO,Tampico,22.21805,-97.85683
198,TAPACHULA,Tapachula,14.90939,-92.26335
306,TEHUACAN GARCIA + CCP,Tehuacán,18.46284,-97.39418
189,TEPIC,Tepic,21.50991,-104.89450
343,TEPIC CENTRO,Tepic,21.51191,-104.89350
238,TEXCOCO  GARCIA+CCP,Texcoco,19.51557,-98.88306
309,TLAXCALA,Santa Ana Chiautempan,19.31440,-98.19443
235,TOLUCA,Toluca de Lerdo,19.29034,-99.65581
280,TOLUCA AVANTE,Toluca de Lerdo,19.29567,-99.57225
211,TOLUCA I,Toluca de Lerdo,19.29034,-99.65575
345,TORREÓN,Torreón,25.53735,-103.46060
201,TOWN CENTER EL ROSARIO,Azcapotzalco,19.50286,-99.20312
602,TOWN CENTER NICOLÁS ROMERO,Nicolas Romero,19.62734,-99.29175
332,TOWN SQUARE METEPEC,Metepec,19.26759,-99.60591
296,TULA DE ALLENDE,Tula de Allende,20.05438,-99.34253
315,TULANCINGO,Tulancingo,20.08128,-98.36968
258,TUXPAN,Tuxpan,20.95191,-97.40223
281,TUXTEPEC,San Juan Bautista Tuxtepec,18.08135,-96.12396
254,TUXTLA,Tuxtla Gutiérrez,16.75153,-93.11759
318,TUXTLA I,Tuxtla Gutierrez,16.74510,-93.07403
218,VERACRUZ I,Veracruz,19.19802,-96.13729
245,VIA ALTA SALAMANCA,Salamanca,20.58386,-101.23030
276,VILLAHERMOSA,Villahermosa,17.99750,-92.91490
288,VILLAHERMOSA I,Villahermosa,17.98890,-92.91718
568,WILLOWBROOK MALL,Houston,29.95998,-95.53930
251,XOCHIMILCO,Xochimilco,19.26151,-99.10485
260,ZACATECAS,Zacatecas,22.77062,-102.57320
