Punto,Lat,Lon
BANCOPPEL ROJO GOMEZ,19.38455,-99.07558
BANCOPPEL SAN COSME,19.43931,-99.15714
BANCOPPEL SAN ISIDRO,19.26047,-99.01402
BANCOPPEL SAN JUAN,19.40034,-99.06145
BANCOPPEL SANTA FE,19.38392,-99.23151
BANCOPPEL SANTA MARTHA,19.35767,-99.00244
BANCOPPEL SONORA,19.42291,-99.12763
BANCOPPEL SUR 16,19.39439,-99.0766
BANCOPPEL TACUBA,19.45839,-99.1847
BANCOPPEL TEPALCATES,19.39117,-99.04551
BANCOPPEL TEZONTLE,19.38775,-99.1118
BANCOPPEL TLAHUAC,19.32181,-99.09452
BANCOPPEL TLALPAN AZTECA,19.30471,-99.14523
BANCOPPEL URUGUAY,19.42972,-99.13258
BANCOPPEL VASCO DE QUIROGA,19.38177,-99.24006
BANCOPPEL VIADUCTO,19.40088,-99.13715
BANCOPPEL VILLA COAPA,19.29972,-99.10799
BANCOPPEL VISTA NORTE,19.50218,-99.12112
BANCOPPEL ZARAGOZA,19.41121,-99.08043
"BANCOPPEL, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",19.40004,-99.17097
CAJERO AUTOMÁTICO BANCOPPEL,19.44609,-99.15306
CAJERO AUTOMÁTICO BANCOPPEL,19.52577,-99.14202
CAJERO AUTOMÁTICO BANCOPPEL,19.5264,-99.14163
CAJERO AUTOMÁTICO BANCOPPEL,19.49076,-99.16196
CAJERO AUTOMÁTICO BANCOPPEL,19.35702,-99.29973
CAJERO AUTOMÁTICO BANCOPPEL,19.48279,-99.18611
CAJERO AUTOMÁTICO BANCOPPEL,19.31203,-99.12389
CAJERO AUTOMÁTICO BANCOPPEL,19.47155,-99.17089
CAJERO AUTOMÁTICO BANCOPPEL,19.3426,-99.14122
CAJERO AUTOMÁTICO BANCOPPEL,19.30239,-99.16563
CAJERO AUTOMÁTICO BANCOPPEL,19.30441,-99.14545
CAJERO AUTOMÁTICO BANCOPPEL,19.29972,-99.10803
CAJERO AUTOMÁTICO BANCOPPEL,19.44827,-99.10006
CAJERO AUTOMÁTICO BANCOPPEL,19.40006,-99.17059
CAJERO AUTOMÁTICO BANCOPPEL,19.39999,-99.17084
CAJERO AUTOMÁTICO BANCOPPEL,19.40006,-99.17059
CAJERO AUTOMÁTICO BANCOPPEL,19.4007,-99.20935
CAJERO AUTOMÁTICO BANCOPPEL,19.40323,-99.18688
CAJERO AUTOMÁTICO BANCOPPEL,19.36454,-99.16975
CAJERO AUTOMÁTICO BANCOPPEL,19.32059,-99.0862
CAJERO AUTOMÁTICO BANCOPPEL,19.34436,-99.02699
CAJERO AUTOMÁTICO BANCOPPEL,19.32174,-99.09411
CAJERO AUTOMÁTICO BANCOPPEL,19.38505,-99.07545
CAJERO AUTOMÁTICO BANCOPPEL,19.41152,-99.08047
CAJERO AUTOMÁTICO BANCOPPEL,19.40925,-99.12106
CAJERO AUTOMÁTICO BANCOPPEL,19.35794,-99.0024
CAJERO AUTOMÁTICO BANCOPPEL,19.35971,-99.09164
CAJERO AUTOMÁTICO BANCOPPEL,19.37121,-99.14313
CAJERO AUTOMÁTICO BANCOPPEL,19.32212,-99.09723
CAJERO AUTOMÁTICO BANCOPPEL,19.34714,-99.01931
CAJERO AUTOMÁTICO BANCOPPEL,19.30375,-99.05539
CAJERO AUTOMÁTICO BANCOPPEL,19.30287,-99.05498
CAJERO AUTOMÁTICO BANCOPPEL,19.30054,-99.05033
CAJERO AUTOMÁTICO BANCOPPEL,19.38546,-99.08235
CAJERO AUTOMÁTICO BANCOPPEL,19.37641,-99.07812
CAJERO AUTOMÁTICO BANCOPPEL,19.42614,-99.14203
CAJERO AUTOMÁTICO BANCOPPEL,19.37421,-99.18818
CAJERO AUTOMÁTICO BANCOPPEL,19.49909,-99.096
CAJERO AUTOMÁTICO BANCOPPEL,19.45838,-99.18466
CAJERO AUTOMÁTICO BANCOPPEL,19.4353,-99.10952
CAJERO AUTOMÁTICO BANCOPPEL,19.44014,-99.15531
CAJERO AUTOMÁTICO BANCOPPEL,19.4835,-99.11743
CAJERO AUTOMÁTICO BANCOPPEL,19.44942,-99.1525
CAJERO AUTOMÁTICO BANCOPPEL,19.43574,-99.11069
CAJERO AUTOMÁTICO BANCOPPEL,19.40436,-99.06763
CAJERO AUTOMÁTICO BANCOPPEL,19.42985,-99.1326
CAJERO AUTOMÁTICO BANCOPPEL,19.40093,-99.13715
