Establecimiento,Lat,Lon
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.6529,-100.111632
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.7391,-100.1886201
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.6744,-100.4564555
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.7228,-100.2067868
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.668,-100.2286004
UNIVERSIDAD JOSE VASCONCELOS CALDERON,25.6529,-100.1117034
UNIVERSIDAD JOSE VASCONCELOS CAMPUS APODACA,25.739,-100.1888164
UNIVERSIDAD JOSE VASCONCELOS CAMPUS ELOY CAVAZOS,25.6508,-100.1960415
UNIVERSIDAD JOSE VASCONSELOS CALDERON,25.7334,-100.3758199
UNIVERSIDAD LCI,25.6685,-100.3211694
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6734,-100.3128553
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6742,-100.3134777
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6732,-100.3112704
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6778,-100.3130445
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.7813,-100.186709
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6727,-100.312972
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6741,-100.336944
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.68,-100.3099637
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6734,-100.3130616
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6732,-100.3117012
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6712,-100.3133621
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6727,-100.3137193
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6742,-100.3114727
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6759,-100.3095101
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6744,-100.3119791
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6762,-100.3103345
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6556,-100.3833503
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6742,-100.3119245
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6771,-100.3217341
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.7597,-100.4018418
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6729,-100.3111902
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6751,-100.3105572
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6733,-100.3116602
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6732,-100.3118771
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6754,-100.3157058
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6611,-100.1506537
UNIVERSIDAD METROPOLITANA DE MONTERREY,25.6739,-100.3110589
UNIVERSIDAD NUEVA EXTREMADURA,25.812,-100.5955898
UNIVERSIDAD PEDAGOGICA NACIONAL UNIDAD 19B,25.7008,-100.2543834
UNIVERSIDAD PEDAGOJICA NACIONAL MONTERREY,25.7069,-100.3289259
UNIVERSIDAD PEDRO DE GANTE,25.6916,-100.2620837
UNIVERSIDAD REGIOMONTANA  TECNOLOGIA,25.6725,-100.3222546
UNIVERSIDAD REGIOMONTANA VALLE ALTO,25.5667,-100.243181
UNIVERSIDAD TEC MILENIO CAMPUS LAS TORRES,25.6846,-100.3402541
UNIVERSIDAD TEC MILENIO CAMPUS SANTA CATARINA,25.6772,-100.4645178
