Punto,Lat,Lon,
ESCUELA CONSTITUCION DE 1917 JORNADA AMPLIADA,19.3500233,-99.0659495,
ESCUELA DE GOBIERNO PROFESORA MARIA HAZAS VARGAS,19.3468237,-98.9952026,
ESCUELA DE PARTICIPACION SOCIAL NUMERO 1 PRIMARIA,19.4206622,-99.1492169,
ESCUELA DE PARTICIPACIÓN SOCIAL NÚMERO 6,19.4038025,-99.1343147,
ESCUELA DE TIEMPO COMPLETO UCRANIA,19.2921965,-99.1215749,
ESCUELA DIF,19.3645332,-99.1590269,
ESCUELA DOLORES CORREA ZAPATA SEP,19.4452091,-99.1366293,
ESCUELA DR ROBERTO SOLIS QUIROGA CCT 09DPR3093O 51248251133X023,19.2931833,-99.2275910,
ESCUELA EL SEGURO DEL MAESTRO,19.3655201,-99.2360465,
ESCUELA ENRIQUE LAUBSCHER,19.3596042,-99.0938937,
ESCUELA FRANCISCO GOITIA,19.5292677,-99.1514274,
ESCUELA FRANCISCO MARQUEZ,19.3608027,-99.0147564,
ESCUELA FRANCISCO NICODEMO,19.3051919,-99.2379391,
ESCUELA FUERTE DE LORETO,19.5176230,-99.1287480,
ESCUELA GABINO BARREDA,19.4320607,-99.1271339,
ESCUELA GENARO V VAZQUEZ QUIROZ,19.4080456,-99.0671518,
ESCUELA GENERAL ANTONIO ROSALES,19.3787007,-99.2459689,
ESCUELA GENERAL LAZARO CARDENAS,19.5407147,-99.1501857,
ESCUELA GERTRUDIS VOCANEGRA DE LAZO DE LA VEGA,19.4922160,-99.0736632,
ESCUELA GUADALUPE D PLIEGO,19.3493347,-99.1912394,
ESCUELA GUADALUPE VICTORIA,19.3596229,-99.1864222,
ESCUELA HEROES DE LA NAVAL,19.3751621,-99.2029539,
ESCUELA HEROES DEL SUR,19.4918922,-99.1836941,
ESCUELA ICHCATEOPAN,19.4593105,-99.1850139,
ESCUELA IGNACIO ZARAGOZA,19.3323770,-99.2324201,
ESCUELA INDEPENDENCIA,19.3722507,-99.1845975,
ESCUELA INEA,19.5213165,-99.1591644,
ESCUELA INSURGENTES BRAVO,19.3945472,-99.1839027,
ESCUELA INTEGRAL ROMA,19.2726091,-98.9950478,
ESCUELA JOSE GUADALUPE GOMEZ,19.3565843,-99.0819011,
ESCUELA JOSE MARIANO JIMENEZ,19.3464343,-99.0430812,
ESCUELA JOSE ORTEGA Y GASET,19.3453881,-99.0126979,
ESCUELA JUAN A MATEOS,19.3712880,-99.2190820,
ESCUELA JUSTO SIERRA,19.4004269,-99.1850237,
ESCUELA LEOPOLDO RIO DE LA LOZA,19.4504102,-99.1326077,
ESCUELA LICENCIADO EDUARDO FACHA GUTIERREZ,19.3583083,-99.2121890,
ESCUELA LICENCIADO MANUEL GUAL VIDAL VESPERTIN0,19.4422785,-99.2101145,
ESCUELA LUIS ENRIQUE ERRO,19.5052296,-99.0991220,
ESCUELA LUIS HIDALGO MONROY,19.3529497,-99.1607898,
ESCUELA MAESTRO RAFAEL RAMIREZ,19.3177685,-99.2291930,
ESCUELA MAESTROS MEXICANOS CCT 09DBA0073D,19.3097607,-99.2304942,
ESCUELA MAGISTERIO MEXICANO,19.4900858,-99.1975883,
ESCUELA MANUEL MARIA PONCE,19.4390697,-99.1078657,
ESCUELA MARTIRES DE LA LIBERTAD,19.4793866,-99.1868314,
ESCUELA MIRAVALLES PRIMARIA,19.3360112,-98.9965840,
ESCUELA MODELO,19.4427710,-99.1908305,
ESCUELA NICOLAS GARCIA SAN VICENTE 09DPR2650D,19.3637976,-98.9958013,
ESCUELA NOCTURNA CENTRO URBANO PRESIDENTE ALEMAN,19.3727317,-99.1699828,
ESCUELA NOCTURNA DR. HECTOR PEREZ MARTINEZ,19.4643422,-99.1482885,
ESCUELA OBRAS DEL VALLE DE MEXICO,19.4708229,-99.0853345,
ESCUELA OFICIAL PRIMARIA JULIO S HERNANDEZ DPR1409I,19.4743685,-99.0663177,
ESCUELA OFICIAL PRIMARIA REPUBLICA DE BIRMANIA,19.4743234,-99.0686229,
ESCUELA PANAMERICANA,19.3096311,-99.1701375,
ESCUELA PIMARIA IGNACIO L VALLARTA,19.4208426,-99.1611133,
ESCUELA PINTOR GERARDO MURILLO,19.3927058,-99.0432280,
ESCUELA PREIMARIA RAFAELA SUAREZ,19.4589166,-99.1838194,
ESCUELA PRESIDENTE PASCUAL ORTIZ RUBIO,19.4974373,-99.1236032,
ESCUELA PRIIMARIA JOSE GOROSTIZA,19.4476024,-99.1440171,
ESCUELA PRIMARI FELIPE RIVERA CLAVE 15041912600X026,19.4071213,-99.1481109,
ESCUELA PRIMARI MARIA CARRARO VIUDA DE AMBROSSI0,19.3841210,-99.2287411,
ESCUELA PRIMARI MARIA GUADALUPE DE GARCIA RTM,19.3874922,-99.2107505,
ESCUELA PRIMARI PROF RAMON DURAND VESP,19.3157346,-99.1699380,
ESCUELA PRIMARIA  JUVENTINIO ROSAS,19.3065575,-99.2336776,
ESCUELA PRIMARIA  PAULA ALEGRIA 09DPR2724E,19.3701124,-99.0268967,
ESCUELA PRIMARIA  PÚBLICA ANTONIO SANCHEZ MOLINA CCT 09DPR4243L,19.2920351,-99.2302455,
ESCUELA PRIMARIA  VICTORIANO GONZALEZ GARZON CCT 09DPR3079V,19.4314440,-99.0588849,
ESCUELA PRIMARIA 13 DE SEPTIEMBRE DE 1847 JORNADA AMPLIADA,19.4754498,-99.2127681,
ESCUELA PRIMARIA 14 DE ABRIL,19.4047409,-99.1804388,
ESCUELA PRIMARIA 14 DE JULIO,19.4700685,-99.1573181,
ESCUELA PRIMARIA 15 DE MAYO,19.3556300,-99.1290210,
ESCUELA PRIMARIA 18 DE MARZO,19.4042025,-99.1416428,
ESCUELA PRIMARIA 21 DE AGOSTO DE 1944,19.3399085,-99.1880496,
ESCUELA PRIMARIA 21 DE MARZO,19.4050574,-99.1609769,
ESCUELA PRIMARIA 24 DE FEBRERO,19.4316026,-99.0977381,
ESCUELA PRIMARIA 27 DE SEPTIEMBRE,19.3719805,-99.2061608,
ESCUELA PRIMARIA 30 ABRIL COMPLETO,19.3540469,-99.0737188,
ESCUELA PRIMARIA 30 DE SEPTIEMBRE,19.4617349,-99.1325515,
ESCUELA PRIMARIA 41307 REP POPULAR DE BULGARIA,19.3443871,-99.1727539,
ESCUELA PRIMARIA 5 DE MAYO DE 1862,19.3596589,-99.1381827,
ESCUELA PRIMARIA 7 DE ENERO JORNADA AMPLEADA 09DPR1789H,19.4014645,-99.1996812,
ESCUELA PRIMARIA 7 DE JULIO,19.4349591,-99.1133204,
ESCUELA PRIMARIA AARON CAMACHO LOPEZ,19.2509544,-99.0278311,
ESCUELA PRIMARIA ABRAHAM CASTELLANOS,19.4404646,-99.1289451,
ESCUELA PRIMARIA ABRAHAM LINCOLN,19.3945982,-99.1052396,
ESCUELA PRIMARIA ACAHUALTEPEC 09DPR5052B,19.3429959,-99.0090296,
ESCUELA PRIMARIA ACAMAPICHTLI,19.4052593,-99.0675425,
ESCUELA PRIMARIA ACATONALLI,19.2470058,-99.0104408,
ESCUELA PRIMARIA ACAYUCAN,19.4128322,-99.0930879,
ESCUELA PRIMARIA ADALBERTO TEJEDA,19.4733961,-99.1741908,
ESCUELA PRIMARIA ADAM MICKIEWICZ,19.2324995,-99.1192833,
ESCUELA PRIMARIA ADOLFO CIENFUEGOS Y CAMUS,19.4574657,-99.1842541,
ESCUELA PRIMARIA ADOLFO CISNEROS,19.3763650,-99.0708814,
ESCUELA PRIMARIA ADOLFO RUIZ CORTINES,19.3788767,-99.2089200,
ESCUELA PRIMARIA AFGANISTAN,19.3895940,-99.0907713,
ESCUELA PRIMARIA AGUSTIN BANDA SEVILLA,19.2038747,-99.1020601,
