Punto,Lat,Lon
BOUND LESS GYM,19.33776811,-99.21732659
BROTHER S GYM,19.3174188,-99.08936491
BSM TRAINING,19.37732912,-99.26047007
BULLY GYM,19.49131121,-99.19562999
C  CLUB NARVARTE,19.38266628,-99.14781954
C.F. SAN MIGUEL,19.4123939,-99.18511447
CABAÑAS GYM,19.30493959,-99.06178676
CAFETERIA PODEROSOS,19.48409444,-99.19816589
CALSE DE ZUMBA Y VENTA DE HERBALIFE,19.3466347,-99.10696237
CAMPO DE FUTBOL,19.27466151,-99.09726004
CAMPO DE FUTBOL FUTBOLANDÍA,19.23456507,-99.17877396
CAMPO DE FUTBOL GUSTVO ROMERO HURTADO,19.34522028,-99.31282611
CAMPO DE FUTBOL SAN ANDRÉS,19.23885357,-99.09999558
CAMPO DE FUTBOLL CUAHUTEMOC,19.32971693,-99.02579977
CAMPOS DE FUTBOL ISLA 4,19.27756194,-99.08184306
CAMPOS DE FUTBOL POKOLPOK,19.26467194,-99.08655917
CAMPOS DE FUTBOL SECTOR SOCCER,19.2361665,-99.1481581
CANCHA CUAUTEPEC,19.55938413,-99.13143848
CANCHA DE FUT 5,19.34262567,-99.27816652
CANCHA DE FUT BOL MILENIUM,19.38390945,-99.2315875
CANCHA DE FUTBALL 7,19.19753743,-99.14555491
CANCHA DE FUTBOL DEL LIENZO CHARRO,19.29664394,-99.24860181
CANCHA DE FUTBOL GLORIA,19.27484878,-99.02755785
CANCHA DE FUTBOL IMPACTO,19.35229181,-98.99700455
CANCHA DE FUTBOL LA ESCONDIDA,19.55537138,-99.13450741
CANCHA DE FUTBOL LIGA MIZTLI,19.27744981,-99.03039024
CANCHA DE FUTBOL QUETZALI,19.27707675,-99.03040001
CANCHA DE FUTBOL RAPIDO EL MIRADOR,19.32765254,-99.28748773
CANCHA DE FUTBOL RAPIDO NADER SA DE CV,19.30823202,-99.03709952
CANCHA DE FUTBOL RAPIDO SELENE,19.28574932,-99.00474449
CANCHA DE FUTBOL SAN PEDRO,19.27640567,-99.03211422
CANCHA DE FUTBOL TLALTENCO,19.29928887,-99.02270042
CANCHA DE FUTBOL TORRE 1,19.28117504,-99.02708744
CANCHA DE FUTBOOL REAL,19.19296139,-99.08370999
CANCHA DE TENIS ACUEDUCTO,19.52093345,-99.14679253
CANCHA DE TENIS EL ÁRBOL,19.45669614,-99.17691881
CANCHA MONUMENTAL,19.55553731,-99.1337194
CANCHA TECHADA TARANGO SOCCER,19.36533661,-99.20378612
CANCHAS DE FOOT BALL RAPIDO,19.34025721,-99.03580939
