Sitio,Lat,Lon
L5 - Dptvo Eduardo Molina,19.444863,-99.112097
L5 - Mercado Morelos,19.441059,-99.113556
L5 - Archivo General,19.437209,-99.114398
L5 - San Lazaro,19.430911,-99.115171
TL - Taxquena,19.343764,-99.139767
TL - Las Torres,19.340625,-99.143586
TL - Cd Jardin,19.335402,-99.141805
TL - La Virgen,19.33202,-99.140625
TL - Xotepingo,19.327505,-99.139445
TL - Nezahualpilli,19.323455,-99.138114
TL - Registro Federal,19.31815,-99.138737
TL - Textitlan,19.312298,-99.140689
TL - El Vergel,19.307498,-99.142685
TL - Estadio Azteca,19.301828,-99.147084
TL - Huipulco,19.297514,-99.150753
TL - Xomali,19.288826,-99.146912
TL - Periferico,19.28273,-99.139788
TL - Tepepan,19.27959,-99.133265
TL - La Noria,19.267984,-99.125755
TL - Huichapan,19.264156,-99.118052
TL - Francisco Goitia,19.260732,-99.111249
TL - Xochimilco,19.259416,-99.107881
MXB - Quinto Sol,19.539683,-99.025666
MXB - Josefa Ortiz,19.546439,-99.02278
MXB - Industrial,19.55034,-99.021059
MXB - UNITEC,19.553992,-99.019359
MXB - A Torres,19.558258,-99.017317
MXB - Zodiaco,19.56316,-99.015224
MXB - Adolfo Lopez Mateo,19.567217,-99.01564
MXB - Vocacional 3,19.570466,-99.018309
MXB - Valle de Ecatepec,19.572933,-99.020828
MXB - Americas,19.590453,-99.024037
MXB - 1 de Mayo,19.58735,-99.024853
MXB - Hospital,19.592138,-99.022093
MXB - Aquiles Serdan,19.597313,-99.018831
MXB - Jardines de Morelos,19.600402,-99.016524
MXB - Las Palomas,19.607295,-99.011527
MXB - 19 de Sep,19.61035,-99.009437
MXB - Central de Abastos,19.617352,-99.008676
MXB - Insurgentes,19.63314569,-99.00210326
MXB - Hidalgo,19.633372,-99.002266
MXB - Cuauhtemoc Sur,19.638041,-99.002684
MXB - Cuauhtemoc Norte,19.646989,-99.005006
MXB - La Esmeralda,19.651691,-99.00504
R1 - Emiliano Zapata,19.0335293,-98.2625776
R1 - Casa De Angeles,19.0349326,-98.2582908
R1 - Carmen Serdan,19.0363459,-98.2513919
R1 - Hospital Para El Nino,19.0372708,-98.2476205
R1 - Estrellas Del Sur,19.0392203,-98.2416739
R1 - Las Animas,19.045502,-98.2350463
R1 - 25 Poniente,19.048853,-98.2322063
R1 - Matamoros,19.051102,-98.2274347
R1 - San Alejandro,19.0582647,-98.2159014
R1 - Juarez-Serdan,19.05627,-98.22095
R1 - Hermanos Serdan,19.0593761,-98.2180142
R1 - Defensores De La Rep,19.0573181,-98.2118127
R1 - 18 Poniente,19.0585128,-98.2097576
R1 - Pestalozzi,19.060805,-98.205463
R1 - Santa Anita,19.0622907,-98.2018094
R1 - Constitucion De 1917,19.0634045,-98.197686
R1 - El Rayito,19.0642497,-98.1946761
R1 - China Poblana,19.0648187,-98.1923467
R1 - Los Lavaderos,19.0650525,-98.1881632
R1 - Puente Zaragoza,19.0648462,-98.1830882
R1 - Ignacio Zaragoza,19.0644208,-98.1790825
R1 - Los Fuertes,19.0640084,-98.1755209
R1 - Tecnologico,19.0634982,-98.172027
R1 - La Cienega,19.0627932,-98.1683375
R1 - La Rosa,19.0624831,-98.1637528
R1 - 18 de Noviembre,19.06196,-98.15954
R1 - La Resurrecion,19.06119,-98.15522
R1 - Universidad Tecnologica,19.06022,-98.14908
R1 - Rivera Anaya,19.0586,-98.14473
R1 - Amalucan,19.05673,-98.13938
R1 - Bosques,19.05619,-98.13635
R1 - Galaxi,19.05529,-98.13222
R1 - El Pilar,19.05476,-98.12782
R1 - Mixatlac,19.0543,-98.12395
R1 - Santa Mago,19.05398,-98.11975
R1 - Chachapa - Laureles,19.05414,-98.11466
R2 - Tabachines,18.9729963,-98.2613113
R2 - Azaleas,18.975233,-98.2583766
R2 - Pino Suarez,18.9778464,-98.2558304
R2 - Independencia,18.9805922,-98.2537117
R2 - Olivos,18.9842668,-98.2509364
R2 - CC Centro Sur,18.9884038,-98.2477771
R2 - Periferico,18.9903977,-98.2462655
R2 - San Bartolo,18.9941702,-98.243389
R2 - Yucatan,18.997613,-98.2407985
R2 - Tarascos,19.0037226,-98.2387379
R2 - Torrecillas,19.0057418,-98.2378868
R2 - Tecamachalco,19.0097499,-98.2354618
R2 - Club De Golf,19.012793,-98.233513
R2 - Cumulo De Virgo,19.0152061,-98.2319661
R2 - IMSS,19.0189326,-98.2287189
R2 - Zaragoza,19.0202613,-98.2280709
R2 - Rio Atoyac,19.0221121,-98.2256537
R2 - Nino Poblano,19.0259356,-98.2218931
R2 - Juan Pablo II,19.0277119,-98.2200562
R2 - Alpha,19.0305904,-98.2174146
R2 - Panteones,19.0342728,-98.2147827
R2 - Espinosa Yglesias,19.0360807,-98.213435
R2 - Revolucion,19.0386012,-98.2117596
R2 - Santiago,19.0411541,-98.2103738
R2 - Heroes De La Reforma,19.0442083,-98.2086638
R2 - Paseo Bravo,19.0470089,-98.2070479
R2 - Mercado De Sabores,19.0502897,-98.2051072
R2 - Museo Del Ferrocarri,19.0548154,-98.2024939
R2 - Nacozari,19.0571619,-98.1987869
R2 - Diagonal Oriente,19.0636989,-98.195223
R2 - Diagonal Poniente,19.0631511,-98.1974265
C. Carga - Reforma,19.4066059,-99.2265473
ST002 - COSTCO Polanco,19.440306,-99.206028
ST003 - Hospital Español,19.440694,-99.193778
ST004 - Plaza Carso,19.44127,-99.20505
ST005 - Antara,19.438694,-99.201028
ST006 - Liverpool Polanco,19.433139,-99.182806
ST007 - Museo de Antropologia e Historia,19.424833,-99.184972
ST008 - Hard Rock Cafe,19.42691,-99.1968
ST009 - Plaza Comercial Bosques,19.4070032,-99.2399727
ST010 - Bosques,19.40441,-99.24166
ST011 - Metro Juanacatlan,19.41294,-99.18206
ST015 - Metro San Cosme,19.442,-99.16061
ST017 - La Bombilla,19.347639,-99.187056
ST018 - Hospital ABC Observatorio,19.399611,-99.204333
ST019 - Manacar,19.370083,-99.179917
ST020 - Walmart Felix Cuevas,19.372278,-99.175806
ST022 - Concepcion Beistegui,19.387611,-99.156972
ST023 - Etiopia,19.3962244,-99.155507
ST024 - Centro Bancomer,19.36216,-99.17025
ST025 - Teatro Insurgentes,19.364333,-99.182278
ST026 - Hospital ABC Santa Fe,19.355139,-99.283333
ST027 - Metro Sevilla,19.421417,-99.17151
ST028 - Centro Medico,19.406333,-99.155417
ST029 - Puerta principal Liverpool Polanco,19.433778,-99.182361
ST030 - Sams Polanco,19.438139,-99.192583
ST031 - Metro San Joaquin,19.445056,-99.191639
ST032 - Camino Real,19.428167,-99.180083
ST033 - Colegio Militar,19.44934,-99.17172
ST034 - Plaza de las Estrellas,19.43736,-99.17163
ST035 - Parques Polanco,19.43994,-99.18397
ST036 - Antara II,19.44,-99.20319
ST037 - Museo Soumaya,19.44025,-99.204417
ST038 - Presa Falcon,19.4458,-99.2048
ST039 - Moliere,19.43903,-99.20075
ST040 - Fuente de Petroleos,19.428583,-99.202861
ST041 - Prisma,19.4358116,-99.2122604
ST042 - Periferico y Ejercito Nacional,19.43875,-99.213806
ST044 - Auditorio Nacional,19.42577,-99.19347
ST045 - Soriana Tacubaya,19.408833,-99.183944
ST046 - Parque Pedro Plascencia,19.43642,-99.17486
ST047 - Residencial Vyve,19.3587829,-99.1679171
ST048 - Parque Hundido,19.379972,-99.177583
ST050 - Tamaulipas,19.408639,-99.176361
ST051 - Plaza Grijalva,19.433611,-99.169722
ST052 - Museo Franz Mayer,19.437278,-99.143972
ST053 - Glorieta de los Coyotes,19.347222,-99.181028
ST054 - Tecnologico de Monterrey,19.35625,-99.262667
ST055 - Camarones,19.468168,-99.176489
ST056 - Metro Chapultepec,19.419167,-99.177444
ST058 - Sanborns Palmas,19.42875,-99.217028
ST059 - Legaria,19.45347,-99.19827
ST060 - Hotel Hyatt,19.427944,-99.192889
ST061 - Expo Bancomer,19.362639,-99.263639
ST062 - WTC,19.393028,-99.174556
ST065 - Xola,19.395694,-99.155861
ST066 - Pediatria,19.305497,-99.184943
ST067 - City Market Santa Fe,19.358806,-99.271333
ST070 - Hotel J. W. Marriot,19.42675,-99.192417
ST073 - Bahïa de San Hipolito,19.43804,-99.17767
ST076 - Plaza de las Estrellas II,19.43602,-99.17194
ST078 - Walmart Miramontes,19.317688,-99.124473
ST079 - Biblioteca Juventino Rosas,19.411028,-99.159722
ST080 - Legaria 2,19.44219,-99.21519
ST082 - Parque Lindavista,19.487028,-99.131361
ST087 - Andres Bello,19.426891,-99.1946747
ST088 - Deportivo Cuemanco,19.298472,-99.09425
ST089 - Superama Plaza Lilas,19.388361,-99.248139
ST091 - Garden Sta. Fe,19.364778,-99.264861
ST092 - Vasco de Quiroga,19.366917,-99.264167
ST093 - Maxcom,19.367417,-99.262972
ST094 - Tec Santa Fe,19.35713,-99.26016
ST095 - Paseo de las Lilas,19.386556,-99.247833
ST096 - Via Santa Fe,19.362194,-99.275944
ST097 - La Mexicana,19.3623111,-99.267556
ST098 - Corporativo Huawei,19.361111,-99.267917
ST099 - Glorieta de los Aros Santa Fe,19.358028,-99.273667
ST100 - Instituto Cumbres,19.381472,-99.26751
ST102 - Plaza Miyana,19.4409583,-99.1986586
ST104 - Hotel J.W. Marriot,19.42675,-99.192417
ST105 - Jorge Elliot,19.427639,-99.194139
ST107 - Club Empresarios Bosques,19.40647,-99.23856
CC - Andamar Lifestyle Center,19.13903962,-96.1025757
CC - Angelopolis,19.03180573,-98.23264456
CC - Antara,19.43938923,-99.20234127
CC - Antea,20.67449597,-100.4373133
CC - Artz,19.31377652,-99.21885267
CC - Calle Corazon,20.62827675,-87.07180376
CC - Landmark,20.70706058,-103.4126868
CC - Landmark Pantalla,20.70761,-103.41171
CC - Marina Puerto,21.16088171,-86.80803822
CC - Plaza Satelite,19.51053316,-99.23416261
CC - Premium Outlets Norte,19.60096827,-99.19966866
CC - The Harbor,21.04585501,-89.63134503
CC - Town Square,19.26718993,-99.60580083
CC -Town Square Pantalla,19.266562,-99.607347
